2022-10-11 14:12:50,551 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-10-11 14:12:50,574 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-10-11 14:12:50,576 INFO  Logger.cs: 73 - Commit version 1.6.1-12-ge40d886
2022-10-11 14:12:50,577 INFO  Logger.cs: 74 - Build version 1.6.8301.19567
2022-10-11 14:12:50,580 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-10-11 14:12:50,580 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-10-11 14:12:50,581 INFO  SwAddin.cs: 201 - Setting up command manager
2022-10-11 14:12:50,582 INFO  SwAddin.cs: 204 - Adding command manager
2022-10-11 14:12:50,585 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-10-11 14:12:50,586 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-10-11 14:12:50,587 INFO  SwAddin.cs: 210 - Adding event handlers
2022-10-11 14:12:50,603 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-10-11 14:35:09,401 INFO  SwAddin.cs: 294 - Assembly export called for file M-2063306-000.sldasm
2022-10-11 14:35:09,404 INFO  SwAddin.cs: 299 - Save is required
2022-10-11 14:35:09,404 INFO  SwAddin.cs: 313 - Saving assembly
2022-10-11 14:35:09,405 INFO  SwAddin.cs: 316 - Opening property manager
2022-10-11 14:35:09,419 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from M-2063306-000.sldasm
2022-10-11 14:35:09,422 INFO  ExportHelperExtension.cs: 1136 - Found 29 in M-2063306-000.sldasm
2022-10-11 14:35:09,423 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in M-2063306-000.sldasm
2022-10-11 14:35:09,423 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-11 14:35:09,424 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-10-11 14:35:09,425 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem9^M-2063306-000-1
2022-10-11 14:35:09,425 INFO  ExportHelperExtension.cs: 1136 - Found 70 in Assem9^M-2063306-000-1
2022-10-11 14:35:09,426 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assem9^M-2063306-000-1
2022-10-11 14:35:09,426 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem6^M-2063306-000-1
2022-10-11 14:35:09,427 INFO  ExportHelperExtension.cs: 1136 - Found 37 in Assem6^M-2063306-000-1
2022-10-11 14:35:09,427 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assem6^M-2063306-000-1
2022-10-11 14:35:09,428 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from M-2063306-000.sldasm
2022-10-11 14:35:09,428 INFO  ExportHelperExtension.cs: 1136 - Found 29 in M-2063306-000.sldasm
2022-10-11 14:35:09,429 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in M-2063306-000.sldasm
2022-10-11 14:35:09,429 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-11 14:35:09,429 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-10-11 14:35:09,430 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem9^M-2063306-000-1
2022-10-11 14:35:09,430 INFO  ExportHelperExtension.cs: 1136 - Found 70 in Assem9^M-2063306-000-1
2022-10-11 14:35:09,431 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem9^M-2063306-000-1
2022-10-11 14:35:09,431 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem6^M-2063306-000-1
2022-10-11 14:35:09,432 INFO  ExportHelperExtension.cs: 1136 - Found 37 in Assem6^M-2063306-000-1
2022-10-11 14:35:09,432 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem6^M-2063306-000-1
2022-10-11 14:35:09,912 INFO  SwAddin.cs: 339 - Loading config tree
2022-10-11 14:35:09,915 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-10-11 14:35:09,918 INFO  SwAddin.cs: 344 - Showing property manager
2022-10-11 14:38:28,998 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2022-10-11 14:38:31,040 INFO  ExportHelperExtension.cs: 347 - Creating joint link_1
2022-10-11 14:38:31,045 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2022-10-11 14:38:31,046 INFO  ExportHelperExtension.cs: 1402 - Fixing 204
2022-10-11 14:38:31,199 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2022-10-11 14:38:31,200 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2022-10-11 14:38:31,205 INFO  : 0 - L1: 1, System.Double[]
2022-10-11 14:38:31,206 INFO  ExportHelperExtension.cs: 857 - L2: 0
2022-10-11 14:38:31,224 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 204
2022-10-11 14:38:33,126 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child link_1 failed
2022-10-11 14:38:33,334 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from M-2063306-000.sldasm
2022-10-11 14:38:33,338 INFO  ExportHelperExtension.cs: 1136 - Found 34 in M-2063306-000.sldasm
2022-10-11 14:38:33,338 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [CoordSys] in M-2063306-000.sldasm
2022-10-11 14:38:33,339 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-11 14:38:33,339 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-10-11 14:38:33,340 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem9^M-2063306-000-1
2022-10-11 14:38:33,340 INFO  ExportHelperExtension.cs: 1136 - Found 70 in Assem9^M-2063306-000-1
2022-10-11 14:38:33,341 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assem9^M-2063306-000-1
2022-10-11 14:38:33,341 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem6^M-2063306-000-1
2022-10-11 14:38:33,342 INFO  ExportHelperExtension.cs: 1136 - Found 37 in Assem6^M-2063306-000-1
2022-10-11 14:38:33,342 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assem6^M-2063306-000-1
2022-10-11 14:38:33,343 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from M-2063306-000.sldasm
2022-10-11 14:38:33,343 INFO  ExportHelperExtension.cs: 1136 - Found 34 in M-2063306-000.sldasm
2022-10-11 14:38:33,344 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [RefAxis] in M-2063306-000.sldasm
2022-10-11 14:38:33,344 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-11 14:38:33,344 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-10-11 14:38:33,345 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem9^M-2063306-000-1
2022-10-11 14:38:33,345 INFO  ExportHelperExtension.cs: 1136 - Found 70 in Assem9^M-2063306-000-1
2022-10-11 14:38:33,346 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem9^M-2063306-000-1
2022-10-11 14:38:33,346 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem6^M-2063306-000-1
2022-10-11 14:38:33,347 INFO  ExportHelperExtension.cs: 1136 - Found 37 in Assem6^M-2063306-000-1
2022-10-11 14:38:33,347 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem6^M-2063306-000-1
2022-10-11 14:38:33,391 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-11 15:25:47,098 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
